reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
22101121006 | 101 | 101404 | Introduction to Fluid Mechanics | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101121006 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101121006&semester=IV&exam_held=December%2F2025
22101127027 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101127027 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101127027&semester=IV&exam_held=December%2F2025
22101128021 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101128021 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101128021&semester=IV&exam_held=December%2F2025
22101130008 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101130008 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101130008&semester=IV&exam_held=December%2F2025
22101132049 | 101 | 101407 | Mechanical Engineering | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101132049 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101132049&semester=IV&exam_held=December%2F2025
22101133038 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101133038 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101133038&semester=IV&exam_held=December%2F2025
22101133051 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101133051 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101133051&semester=IV&exam_held=December%2F2025
22101139903 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101139903 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101139903&semester=IV&exam_held=December%2F2025
22101139914 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101139914 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101139914&semester=IV&exam_held=December%2F2025
22101140007 | 101 | 100408P,101401 | MOOCs / SWAYAM / NPTEL Courses - 1,Civil Engineering - Societal & Global Impact | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101140007 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101140007&semester=IV&exam_held=December%2F2025
22101140017 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101140017 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101140017&semester=IV&exam_held=December%2F2025
22101147001 | 101 | 101406 | Materials, Testing & Evaluation | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101147001 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101147001&semester=IV&exam_held=December%2F2025
22101147013 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101147013 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101147013&semester=IV&exam_held=December%2F2025
22101147039 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101147039 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101147039&semester=IV&exam_held=December%2F2025
22101149006 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101149006 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101149006&semester=IV&exam_held=December%2F2025
22101149020 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101149020 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101149020&semester=IV&exam_held=December%2F2025
22101149024 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101149024 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101149024&semester=IV&exam_held=December%2F2025
22101149911 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101149911 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101149911&semester=IV&exam_held=December%2F2025
22101151023 | 101 | 101405 | Introduction to Solid Mechanics | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101151023 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101151023&semester=IV&exam_held=December%2F2025
