reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
22101144075 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 31^ | 19 | 50 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144075 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144075&semester=IV&exam_held=December%2F2025
22101144079 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 30^ | 23 | 53 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144079 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144079&semester=IV&exam_held=December%2F2025
22101144079 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 28^ | 24 | 52 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144079 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144079&semester=IV&exam_held=December%2F2025
22101144087 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 41^ | 21 | 62 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144087 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144087&semester=IV&exam_held=December%2F2025
22101144088 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 33^ | 22 | 55 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144088 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144088&semester=IV&exam_held=December%2F2025
22101144088 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 36^ | 25 | 61 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144088 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144088&semester=IV&exam_held=December%2F2025
22101144088 | IV | 101 | 101407 | Mechanical Engineering | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 29^ | 22 | 51 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144088 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144088&semester=IV&exam_held=December%2F2025
22101144090 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 37^ | 20 | 57 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144090 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144090&semester=IV&exam_held=December%2F2025
22101144090 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 35^ | 20 | 55 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144090 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144090&semester=IV&exam_held=December%2F2025
22101145006 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 34^ | 25 | 59 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101145006 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101145006&semester=IV&exam_held=December%2F2025
22101145017 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 36^ | 22 | 58 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101145017 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101145017&semester=IV&exam_held=December%2F2025
22101145018 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 40^ | 20 | 60 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101145018 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101145018&semester=IV&exam_held=December%2F2025
22101145021 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | C | B | 7 | 8 | 4.00 | 53^ | 26 | 79 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101145021 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101145021&semester=IV&exam_held=December%2F2025
22101145029 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 44^ | 18 | 62 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101145029 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101145029&semester=IV&exam_held=December%2F2025
22101145029 | IV | 101 | 101407 | Mechanical Engineering | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 35^ | 19 | 54 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101145029 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101145029&semester=IV&exam_held=December%2F2025
22101145034 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 46^ | 18 | 64 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101145034 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101145034&semester=IV&exam_held=December%2F2025
22101146003 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 36^ | 23 | 59 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146003 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146003&semester=IV&exam_held=December%2F2025
22101146006 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 42^ | 24 | 66 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146006 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146006&semester=IV&exam_held=December%2F2025
22101146009 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 39^ | 22 | 61 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146009 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146009&semester=IV&exam_held=December%2F2025
22101146020 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 44^ | 24 | 68 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146020 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146020&semester=IV&exam_held=December%2F2025
22101146021 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 31^ | 20 | 51 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146021 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146021&semester=IV&exam_held=December%2F2025
22101146026 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 32^ | 25 | 57 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146026 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146026&semester=IV&exam_held=December%2F2025
22101146028 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | C | B | 7 | 8 | 2.00 | 55^ | 23 | 78 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146028 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146028&semester=IV&exam_held=December%2F2025
22101146031 | IV | 101 | 101407 | Mechanical Engineering | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 16 | 54 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146031 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146031&semester=IV&exam_held=December%2F2025
