reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
22105102053 | 105 | 105402 | Design & Analysis of Algorithms | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105102053 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105102053&exam_held=December%2F2025
22105102906 | 105 | 100403,105403 | Digital Electronics,Operating Systems | Unexpected pattern: expected P, published F,Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105102906 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105102906&exam_held=December%2F2025
22105106012 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105106012 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105106012&exam_held=December%2F2025
22105106022 | 105 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105106022 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105106022&exam_held=December%2F2025
22105106055 | 105 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105106055 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105106055&exam_held=December%2F2025
22105121004 | 105 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105121004 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105121004&exam_held=December%2F2025
22105121008 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105121008 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105121008&exam_held=December%2F2025
22105123013 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105123013 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105123013&exam_held=December%2F2025
22105123022 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105123022 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105123022&exam_held=December%2F2025
22105123032 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105123032 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105123032&exam_held=December%2F2025
22105125009 | 105 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105125009 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105125009&exam_held=December%2F2025
22105128061 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105128061 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105128061&exam_held=December%2F2025
22105139011 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105139011 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105139011&exam_held=December%2F2025
22105139018 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105139018 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105139018&exam_held=December%2F2025
22105139026 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105139026 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105139026&exam_held=December%2F2025
22105139030 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105139030 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105139030&exam_held=December%2F2025
22105140016 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105140016 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105140016&exam_held=December%2F2025
22110102005 | 110 | 110401 | Analog Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22110102005 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22110102005&exam_held=December%2F2025
22110110036 | 110 | 110406 | Signals and Systems | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22110110036 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22110110036&exam_held=December%2F2025
22110111041 | 110 | 100401 | Biology for Engineers | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22110111041 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22110111041&exam_held=December%2F2025
22110124022 | 110 | 100401 | Biology for Engineers | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22110124022 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22110124022&exam_held=December%2F2025
22110124054 | 110 | 100401 | Biology for Engineers | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22110124054 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22110124054&exam_held=December%2F2025
