sem | branch_code | branch_name | subject_code | credit | total_sem_credit | status | sample_reg_nos
III | 116 | Aeronautical Engineering | 116304p | 1.50 | 22 | MATCH | 22116109002
III | 116 | Aeronautical Engineering | 116305 | 4.00 | 22 | MATCH | 22116109002
III | 117 | Biomedical and Robotic Engineering | 117301 | 3.00 | 24 | MATCH | 22117107001
III | 117 | Biomedical and Robotic Engineering | 117302 | 3.00 | 24 | MATCH | 22117107001
III | 117 | Biomedical and Robotic Engineering | 117302p | 2.00 | 24 | MATCH | 22117107001
III | 117 | Biomedical and Robotic Engineering | 117303 | 3.00 | 24 | MATCH | 22117107001
III | 117 | Biomedical and Robotic Engineering | 117304 | 3.00 | 24 | MATCH | 22117107001
III | 117 | Biomedical and Robotic Engineering | 117304p | 1.50 | 24 | MATCH | 22117107001
III | 117 | Biomedical and Robotic Engineering | 117305 | 3.00 | 24 | MATCH | 22117107001
III | 117 | Biomedical and Robotic Engineering | 117305p | 1.50 | 24 | MATCH | 22117107001
III | 117 | Biomedical and Robotic Engineering | 117306 | 4.00 | 24 | MATCH | 22117107001
III | 118 | 3-D Animation and Graphics | 118301 | 4.00 | 23 | MATCH | 22118128004
III | 118 | 3-D Animation and Graphics | 118301p | 1.50 | 23 | MATCH | 22118128004
III | 118 | 3-D Animation and Graphics | 118302 | 3.00 | 23 | MATCH | 22118128004
III | 118 | 3-D Animation and Graphics | 118302p | 1.50 | 23 | MATCH | 22118128004
III | 118 | 3-D Animation and Graphics | 118303 | 3.00 | 23 | MATCH | 22118128004
III | 118 | 3-D Animation and Graphics | 118304 | 4.00 | 23 | MATCH | 22118128004
III | 118 | 3-D Animation and Graphics | 118304p | 1.50 | 23 | MATCH | 22118128004
III | 118 | 3-D Animation and Graphics | 118305 | 3.00 | 23 | MATCH | 22118128004
III | 118 | 3-D Animation and Graphics | 118305p | 1.50 | 23 | MATCH | 22118128004
III | 119 | Civil Engineering With Computer Application | 119301 | 2.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119302 | 1.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119302P | 1.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119303 | 1.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119303P | 1.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119304 | 4.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119305 | 3.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119306 | 3.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119307 | 2.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119308 | 2.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119308P | 1.00 | 25 | MATCH | 22119113008
III | 119 | Civil Engineering With Computer Application | 119309P | 4.00 | 25 | MATCH | 22119113008
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100302 | 3.00 | 24 | MATCH | 22151113025
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100302P | 2.00 | 24 | MATCH | 22151113025
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100304 | 3.00 | 24 | MATCH | 22151113025
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100304P | 2.00 | 24 | MATCH | 22151113025
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100311 | 2.00 | 24 | MATCH | 22151113025
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100313 | 3.00 | 24 | MATCH | 22151113025
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100313P | 2.00 | 24 | MATCH | 22151113025
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100314 | 3.00 | 24 | MATCH | 22151113025
III | 151 | Computer Science and Engineering (Artificial Intelligence) | 100399P | 4.00 | 24 | MATCH | 22151113025
III | 152 | Computer Science and Engineering (Cyber Security) | 100302 | 3.00 | 24 | MATCH | 22152146021
III | 152 | Computer Science and Engineering (Cyber Security) | 100302P | 2.00 | 24 | MATCH | 22152146021
III | 152 | Computer Science and Engineering (Cyber Security) | 100304 | 3.00 | 24 | MATCH | 22152146021
III | 152 | Computer Science and Engineering (Cyber Security) | 100304P | 2.00 | 24 | MATCH | 22152146021
III | 152 | Computer Science and Engineering (Cyber Security) | 100311 | 2.00 | 24 | MATCH | 22152146021
III | 152 | Computer Science and Engineering (Cyber Security) | 100313 | 3.00 | 24 | MATCH | 22152146021
III | 152 | Computer Science and Engineering (Cyber Security) | 100313P | 2.00 | 24 | MATCH | 22152146021
III | 152 | Computer Science and Engineering (Cyber Security) | 100314 | 3.00 | 24 | MATCH | 22152146021
III | 152 | Computer Science and Engineering (Cyber Security) | 100399P | 4.00 | 24 | MATCH | 22152146021
III | 153 | Computer Science and Engineering (Data Science) | 100302 | 3.00 | 24 | MATCH | 22153132004
III | 153 | Computer Science and Engineering (Data Science) | 100302P | 2.00 | 24 | MATCH | 22153132004
III | 153 | Computer Science and Engineering (Data Science) | 100304 | 3.00 | 24 | MATCH | 22153132004
III | 153 | Computer Science and Engineering (Data Science) | 100304P | 2.00 | 24 | MATCH | 22153132004
III | 153 | Computer Science and Engineering (Data Science) | 100311 | 2.00 | 24 | MATCH | 22153132004
III | 153 | Computer Science and Engineering (Data Science) | 100313 | 3.00 | 24 | MATCH | 22153132004
III | 153 | Computer Science and Engineering (Data Science) | 100313P | 2.00 | 24 | MATCH | 22153132004
III | 153 | Computer Science and Engineering (Data Science) | 100314 | 3.00 | 24 | MATCH | 22153132004
III | 153 | Computer Science and Engineering (Data Science) | 100399P | 4.00 | 24 | MATCH | 22153132004
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100302 | 3.00 | 24 | MATCH | 22154149007
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100302P | 2.00 | 24 | MATCH | 22154149007
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100304 | 3.00 | 24 | MATCH | 22154149007
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100304P | 2.00 | 24 | MATCH | 22154149007
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100311 | 2.00 | 24 | MATCH | 22154149007
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100313 | 3.00 | 24 | MATCH | 22154149007
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100313P | 2.00 | 24 | MATCH | 22154149007
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100314 | 3.00 | 24 | MATCH | 22154149007
III | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100399P | 4.00 | 24 | MATCH | 22154149007
III | 155 | Computer Science and Engineering (Internet of Things) | 100302 | 3.00 | 24 | MATCH | 22155126022
III | 155 | Computer Science and Engineering (Internet of Things) | 100302P | 2.00 | 24 | MATCH | 22155126022
III | 155 | Computer Science and Engineering (Internet of Things) | 100304 | 3.00 | 24 | MATCH | 22155126022
III | 155 | Computer Science and Engineering (Internet of Things) | 100304P | 2.00 | 24 | MATCH | 22155126022
III | 155 | Computer Science and Engineering (Internet of Things) | 100311 | 2.00 | 24 | MATCH | 22155126022
III | 155 | Computer Science and Engineering (Internet of Things) | 100313 | 3.00 | 24 | MATCH | 22155126022
III | 155 | Computer Science and Engineering (Internet of Things) | 100313P | 2.00 | 24 | MATCH | 22155126022
III | 155 | Computer Science and Engineering (Internet of Things) | 100314 | 3.00 | 24 | MATCH | 22155126022
III | 155 | Computer Science and Engineering (Internet of Things) | 100399P | 4.00 | 24 | MATCH | 22155126022
III | 156 | Computer Science and Engineering (Networks) | 100302 | 3.00 | 24 | MATCH | 22156148013
III | 156 | Computer Science and Engineering (Networks) | 100302P | 2.00 | 24 | MATCH | 22156148013
III | 156 | Computer Science and Engineering (Networks) | 100304 | 3.00 | 24 | MATCH | 22156148013
III | 156 | Computer Science and Engineering (Networks) | 100304P | 2.00 | 24 | MATCH | 22156148013
III | 156 | Computer Science and Engineering (Networks) | 100311 | 2.00 | 24 | MATCH | 22156148013
III | 156 | Computer Science and Engineering (Networks) | 100313 | 3.00 | 24 | MATCH | 22156148013
III | 156 | Computer Science and Engineering (Networks) | 100313P | 2.00 | 24 | MATCH | 22156148013
III | 156 | Computer Science and Engineering (Networks) | 100314 | 3.00 | 24 | MATCH | 22156148013
III | 156 | Computer Science and Engineering (Networks) | 100399P | 4.00 | 24 | MATCH | 22156148013
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100302 | 3.00 | 24 | MATCH | 22157127020
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100302P | 2.00 | 24 | MATCH | 22157127020
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100304 | 3.00 | 24 | MATCH | 22157127020
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100304P | 2.00 | 24 | MATCH | 22157127020
